Battle of Troina,https://en.wikipedia.org/wiki/Battle_of_Troina,Coordinates: 37°47?N 14°36?E? / ?37.783°N 14.600°E? / 37.783; 14.600,"July 31, 1943 – August 6, 1943"
Battle of Summa,https://en.wikipedia.org/wiki/Battle_of_Summa,Coordinates: 60°30?26?N 29°00?45?E? / ?60.507342°N 29.012389°E? / 60.507342; 29.012389,"16–22 December 1939

1–15 February 1940"
Siege of Calais,https://en.wikipedia.org/wiki/Siege_of_Calais_(1940),Coordinates: 50°57?22.12?N 1°50?28.90?E? / ?50.9561444°N 1.8413611°E? / 50.9561444; 1.8413611,22–26 May 1940
Battle of Gemas,https://en.wikipedia.org/wiki/Battle_of_Gemas,Coordinates: 2°35?N 102°35?E? / ?2.583°N 102.583°E? / 2.583; 102.583,14-Jan-42
Battle of the Admin Box,https://en.wikipedia.org/wiki/Battle_of_the_Admin_Box,null,5–23 February 1944
Battle of Kos,https://en.wikipedia.org/wiki/Battle_of_Kos,Coordinates: 36°47?27?N 27°04?16?E? / ?36.7909°N 27.0712°E? / 36.7909; 27.0712,3–4 October 1943
Taukkyan Roadblock,https://en.wikipedia.org/wiki/Taukkyan_Roadblock,,7–8 March 1942
Battle of Graveney Marsh,https://en.wikipedia.org/wiki/Battle_of_Graveney_Marsh,Coordinates: 51°20?38?N 0°57?32?E? / ?51.343938°N 0.958887°E? / 51.343938; 0.958887,27-Sep-40
Operation Undertone,https://en.wikipedia.org/wiki/Operation_Undertone,,15–24 March 1945
Battle of Gembloux,https://en.wikipedia.org/wiki/Battle_of_Gembloux_(1940),Coordinates: 50°36?00?N 4°39?58?E? / ?50.600°N 4.666°E? / 50.600; 4.666,14–15 May 1940
Battle of Saumur,https://en.wikipedia.org/wiki/Battle_of_Saumur_(1940),Coordinates: 47°15?36?N 00°04?37?E? / ?47.26000°N 0.07694°E? / 47.26000; 0.07694,18–20 June 1940
Battle of the Argenta Gap,https://en.wikipedia.org/wiki/Battle_of_the_Argenta_Gap,,12–19 April 1945
Battle of Mount Song,https://en.wikipedia.org/wiki/Battle_of_Mount_Song,,"June 4, 1944 – September 7, 1944"
Battle of Leros,https://en.wikipedia.org/wiki/Battle_of_Leros,Coordinates: 37°7?55?N 26°51?10?E? / ?37.13194°N 26.85278°E? / 37.13194; 26.85278,26 September – 16 November 1943
Battle of La Ciotat,https://en.wikipedia.org/wiki/Battle_of_La_Ciotat,,17-Aug-44
Siege of Lille,https://en.wikipedia.org/wiki/Siege_of_Lille_(1940),Coordinates: 50°38?0?N 3°4?0?E? / ?50.63333°N 3.06667°E? / 50.63333; 3.06667,28–31 May 1940
Battle of Pokoku and Irrawaddy River operations,https://en.wikipedia.org/wiki/Battle_of_Pokoku_and_Irrawaddy_River_operations,,4 February–13 May 1945
Battle of Sangshak,https://en.wikipedia.org/wiki/Battle_of_Sangshak,,"March 20–26, 1944"
Operation Krohcol,https://en.wikipedia.org/wiki/Operation_Krohcol,,8–11 December 1941
Battle of Meiktila and Mandalay,https://en.wikipedia.org/wiki/Battle_of_Meiktila_and_Mandalay,,January–March 1945
Battle of Jitra,https://en.wikipedia.org/wiki/Battle_of_Jitra,,11–13 December 1941
Battle of Yenangyaung,https://en.wikipedia.org/wiki/Battle_of_Yenangyaung,,11–19 April 1942
Operation Fustian,https://en.wikipedia.org/wiki/Operation_Fustian,null,13–16 July 1943
Battle of Crucifix Hill,https://en.wikipedia.org/wiki/Battle_of_Crucifix_Hill,Coordinates: 50°47?57.63?N 6°8?21.9?E? / ?50.7993417°N 6.139417°E? / 50.7993417; 6.139417,8-Oct-44
Battle of Toungoo,https://en.wikipedia.org/wiki/Battle_of_Toungoo,Coordinates: 18°56?00?N 96°26?00?E? / ?18.9333°N 96.4333°E? / 18.9333; 96.4333,"March 19-March 29, 1942"
Siege of Bastogne,https://en.wikipedia.org/wiki/Siege_of_Bastogne,Coordinates: 50°00?00?N 5°43?17?E? / ?50.0°N 5.7214°E? / 50.0; 5.7214,20–27 December 1944
Battle of Kollaa,https://en.wikipedia.org/wiki/Battle_of_Kollaa,Coordinates: 62°01?40?N 32°15?20?E? / ?62.02778°N 32.25556°E? / 62.02778; 32.25556,"December 7, 1939 to March 13, 1940"
Operation Varsity,https://en.wikipedia.org/wiki/Operation_Varsity,Coordinates: 51°39?31?N 6°37?04?E? / ?51.658611°N 6.617778°E? / 51.658611; 6.617778,24-Mar-45
Battle of Elsenborn Ridge,https://en.wikipedia.org/wiki/Battle_of_Elsenborn_Ridge,Coordinates: 50°26?47?N 6°15?51?E? / ?50.44639°N 6.26417°E? / 50.44639; 6.26417,16 – 26 December 1944
Battle of Maastricht,https://en.wikipedia.org/wiki/Battle_of_Maastricht,Coordinates: 50°51?00?N 5°41?00?E? / ?50.8500°N 5.6833°E? / 50.8500; 5.6833,10-May-40
Battle of Ramree Island,https://en.wikipedia.org/wiki/Battle_of_Ramree_Island,Coordinates: 19°06?00?N 93°48?00?E? / ?19.10000°N 93.80000°E? / 19.10000; 93.80000,14 January – 22 February 1945
Battle of Oktwin,https://en.wikipedia.org/wiki/Battle_of_Oktwin,Coordinates: 18°49?44?N 96°24?19?E? / ?18.82897°N 96.405258°E? / 18.82897; 96.405258,null
Battle of Imphal,https://en.wikipedia.org/wiki/Battle_of_Imphal,Coordinates: 24°49?00?N 93°57?00?E? / ?24.8167°N 93.9500°E? / 24.8167; 93.9500,8 March – 3 July 1944
Battle of the Grebbeberg,https://en.wikipedia.org/wiki/Battle_of_the_Grebbeberg,Coordinates: 51°57?14?N 5°36?00?E? / ?51.954°N 5.600°E? / 51.954; 5.600,11–13 May 1940
Battle of Sedan,https://en.wikipedia.org/wiki/Battle_of_Sedan_(1940),Coordinates: 49°42?9?N 4°56?33?E? / ?49.70250°N 4.94250°E? / 49.70250; 4.94250,12–15 May 1940
Battle of Guilin-Liuzhou,https://en.wikipedia.org/wiki/Battle_of_Guilin-Liuzhou,Coordinates: 23°36?N 108°18?E? / ?23.600°N 108.300°E? / 23.600; 108.300,16 August - 24 November 1944
Battle of Heilbronn,https://en.wikipedia.org/wiki/Battle_of_Heilbronn_(1945),,4–12 April 1945
Battle of Central Henan,https://en.wikipedia.org/wiki/Battle_of_Central_Henan,Coordinates: 33°54?N 113°30?E? / ?33.900°N 113.500°E? / 33.900; 113.500,17 April – 25 May 1944
Battle of Gemmano,https://en.wikipedia.org/wiki/Battle_of_Gemmano,,4–15 September 1944
Battle of Foy,https://en.wikipedia.org/w/index.php?title=Battle_of_Foy&action=edit&redlink=1,null,null
Battle of Normandy,https://en.wikipedia.org/wiki/Operation_Overlord,null,6 June – 30 August 1944
Greco-Italian war,https://en.wikipedia.org/wiki/Greco-Italian_war,null,"28 October 1940 – 23 April 1941

(5 months, 3 weeks and 5 days)"
Battle of Port Cros,https://en.wikipedia.org/wiki/Battle_of_Port_Cros,,15-Aug-44
Battle of Hill 170,https://en.wikipedia.org/wiki/Battle_of_Hill_170,,22–31 January 1945
Operation Ladbroke,https://en.wikipedia.org/wiki/Operation_Ladbroke,null,9–10 July 1943
Operation Grenade,https://en.wikipedia.org/wiki/Operation_Grenade,,9-Feb-45
Battle of Yunnan-Burma Road,https://en.wikipedia.org/wiki/Battle_of_Yunnan-Burma_Road,,March–June 1942
Operation Amherst,https://en.wikipedia.org/wiki/Operation_Amherst,,7–8 April 1945
Battle of St. Vith,https://en.wikipedia.org/wiki/Battle_of_St._Vith,Coordinates: 50°16?55?N 6°7?36?E? / ?50.28194°N 6.12667°E? / 50.28194; 6.12667,16–21 December 1944
Battle of Yugoslavia,https://en.wikipedia.org/wiki/Invasion_of_Yugoslavia,null,6–18 April 1941
